Model,MSE,MAE,RMSE,R2
Explainable Boosting Regressor,20254837.466998897,2512.95536319033,4500.537464236788,0.8657652297765356
CatBoost Regressor,21746582.83595832,2561.0568768401695,4663.323153713274,0.8558789940977531
Random Forest Regressor,22857369.227611035,2607.1672869008207,4780.9381116691975,0.8485174857028429
XGBoost Regressor,24632365.878522992,2805.35514308015,4963.100430025872,0.8367540603990955
Linear Regression,35117755.73613632,4243.654116653146,5926.023602394469,0.7672642952734356
K-Nearest Neighbor Regressor,35256000.84524047,3532.650868582089,5937.676384347707,0.7663481042407825
Decision Tree Regressor,38490714.98113481,2758.387901997015,6204.088569736477,0.7449107014732792
Support Vector Regressor,165072632.56178495,8478.45676207452,12848.059486233124,-0.09398492771004863
Gaussian Process Regressor,786871416138.872,231417.1668841092,887057.7298794437,-5213.828502717369
